name,repeat_status,stim_type
images/faces/male/Justin_Timberlake.jpg,original,face
images/faces/male/Tom_Hanks.jpg,original,face
images/faces/female/Christina_Aguilera.jpg,original,face
images/objects/fullbucket.jpg,original,object
images/objects/APARKBENC.jpg,original,object
images/objects/Acarnivalgame.jpg,original,object
images/faces/female/Carrie_Underwood.jpg,original,face
images/faces/male/Jamie _Foxx.jpg,original,face
images/faces/female/Adele.jpg,original,face
images/faces/female/Alice_Walker.jpg,original,face
images/objects/AHEELCUPS.jpg,original,object
images/objects/Atoyslide.jpg,original,object
images/faces/female/Kelly_Clarkson.jpg,original,face
images/objects/26370116.thl.jpg,original,object
images/objects/ATIMECLO3.jpg,original,object
images/objects/ASCREW24.jpg,original,object
images/objects/23051010.thl.jpg,original,object
images/objects/driedprune.jpg,original,object
images/faces/male/Bryan_Moynihan.jpg,original,face
images/objects/22849344.thl.jpg,original,object
images/objects/swingset.jpg,original,object
images/objects/Achildsplaype.jpg,original,object
images/faces/male/Paulo_Coelho.jpg,original,face
images/objects/26372390.thl.jpg,original,object
images/faces/female/Bonnie_Wright.jpg,original,face
images/faces/female/Mia_Hamm.jpg,original,face
images/faces/male/PSY.jpg,original,face
images/objects/8027086.thl.jpg,original,object
images/objects/8256348.thl.jpg,original,object
images/objects/Atennisball2.jpg,original,object
images/objects/mixer.jpg,original,object
images/faces/male/Prince_Harry.jpg,original,face
images/objects/Abasket108.jpg,original,object
images/objects/26373735.thl.jpg,original,object
images/objects/23025535.thl.jpg,original,object
images/objects/A_flower.jpg,original,object
images/faces/female/Katie_Ledecky.jpg,original,face
images/faces/female/Kate_Middleton.jpg,original,face
images/faces/female/Katie_Ledecky.jpg,repeat,face
images/faces/male/Nicholas_Sparks.jpg,original,face
images/faces/male/John_Goodenough.jpg,original,face
images/objects/22826832.thl.jpg,original,object
images/objects/8026084.thl.jpg,original,object
images/objects/hairbarette.jpg,original,object
images/objects/Atoyturtle.jpg,original,object
images/faces/male/Rick_Riordan.jpg,original,face
images/objects/bagelslicer.jpg,original,object
images/faces/female/Paula_Hawkins.jpg,original,face
images/faces/female/Laverne_Cox.jpg,original,face
images/faces/male/Justin_Trudeau.jpg,original,face
images/objects/ferrywheeltoy.jpg,original,object
images/objects/pinecone02.jpg,original,object
images/objects/ACOWBOYH3.jpg,original,object
images/faces/female/Kelly_Clarkson.jpg,repeat,face
images/faces/female/Rachel_Maddow.jpg,original,face
images/faces/male/Dak_Prescott.jpg,original,face
images/objects/26439913.thl.jpg,original,object
images/objects/26423905.thl.jpg,original,object
images/faces/female/Veronica_Roth.jpg,original,face
images/faces/female/Oprah_Winfrey.jpg,original,face
images/objects/AALARMSY6.jpg,original,object
images/objects/Acartofgroce3.jpg,original,object
images/objects/ATOILROL2.jpg,original,object
images/faces/male/David_Guetta.jpg,original,face
images/objects/hottub.jpg,original,object
images/objects/Ascarf7.jpg,original,object
images/faces/male/Eddie_Murphy.jpg,original,face
images/objects/Aboardgame6.jpg,original,object
images/objects/26424784.thl.jpg,original,object
images/faces/male/Trevor_Noah.jpg,original,face
images/objects/26432217.thl.jpg,original,object
images/faces/female/Demi_Lovato.jpg,original,face
images/faces/female/Lorde.jpg,original,face
images/objects/Apaintroller2.jpg,original,object
images/faces/female/Queen_Elizabeth.jpg,original,face
images/objects/26466344.thl.jpg,original,object
images/faces/male/Tom_Hanks.jpg,repeat,face
images/faces/female/Sonya_Sotomayor.jpg,original,face
images/faces/female/Margot_Robbie.jpg,original,face
images/faces/female/Meghan_Rapinoe.jpg,original,face
images/faces/female/Mary_Kate_Olsen.jpg,original,face
images/objects/ARASPBER2.jpg,original,object
images/faces/male/Mark_Zuckerberg.jpg,original,face
images/faces/male/George_Clooney.jpg,original,face
images/faces/female/Andrea_Russet.jpg,original,face
images/faces/female/Iggy_Azalea.jpg,original,face
images/faces/male/Nick_Jonas.jpg,original,face
images/faces/female/Hillary_Clinton.jpg,original,face
images/faces/female/Gwen_Stefani.jpg,original,face
images/objects/hurdle.jpg,original,object
images/objects/26379612.thl.jpg,original,object
images/faces/female/Addison_Rae.jpg,original,face
images/objects/golf-ball.JPG,original,object
images/objects/ACOCONUT2.jpg,original,object
images/objects/ACUTBOAR2.jpg,original,object
images/objects/driedprune.jpg,repeat,object
images/faces/female/Alicia_Keys.jpg,original,face
images/faces/male/David_Guetta.jpg,repeat,face
images/faces/male/Benedict_Cumberbatch.jpg,original,face
images/objects/clawhairclips.jpg,original,object
images/faces/female/Julianne_Moore.jpg,original,face
images/objects/Chevypickup.jpg,original,object
images/objects/Heatpad.jpg,original,object
images/faces/male/Doug_McMillon.jpg,original,face
images/faces/male/Connor_McGregor.jpg,original,face
images/objects/22883664.thl.jpg,original,object
images/faces/female/Rihanna.jpg,original,face
images/objects/Aallterrain10.jpg,original,object
images/faces/male/Jay_Leno.jpg,original,face
images/faces/female/Bethenny_Frankel.jpg,original,face
images/objects/8253370.thl.jpg,original,object
images/objects/ACURLRIB2.jpg,original,object
images/faces/male/Nathan_Chen.jpg,original,face
images/faces/male/Jim_Gaffigan.jpg,original,face
images/objects/moto.jpg,original,object
images/faces/male/Conan_O_Brien.jpg,original,face
images/objects/ARATTLE.jpg,original,object
images/faces/female/Maggie_Smith.jpg,original,face
images/objects/ANWSPAPER.jpg,original,object
images/faces/male/Snoop_Dogg.jpg,original,face
images/objects/ABACKHOE2.jpg,original,object
images/objects/26425370.thl.jpg,original,object
images/faces/male/Usher.jpg,original,face
images/objects/Atoyball.jpg,original,object
images/faces/male/Eminem.jpg,original,face
images/faces/male/Billy_Joel.jpg,original,face
images/faces/male/John_Legend.jpg,original,face
images/faces/female/Cecily_Strong.jpg,original,face
images/faces/male/Michael_Che.jpg,original,face
images/faces/female/Heidi_Klum.jpg,original,face
images/objects/AALARMSY6.jpg,repeat,object
images/objects/8027086.thl.jpg,repeat,object
images/faces/male/Dr_Phil.jpg,original,face
images/objects/26468374.thl.jpg,original,object
images/objects/8077486.thl.jpg,original,object
images/objects/ACOWBOYH3.jpg,repeat,object
images/objects/babyseatback.jpg,original,object
images/faces/male/Prince_William.jpg,original,face
images/faces/female/Candy_Spelling.jpg,original,face
images/objects/swingset.jpg,repeat,object
images/objects/Atoyball.jpg,repeat,object
images/faces/female/Meghan_Rapinoe.jpg,repeat,face
images/faces/female/Ellen_DeGeneres.jpg,original,face
images/faces/male/Tom_Hardy.jpg,original,face
images/faces/male/Tucker_Carlson.jpg,original,face
images/faces/female/Simone_Biles.jpg,original,face
images/objects/23065398.thl.jpg,original,object
images/faces/female/Beyonce.jpg,original,face
images/objects/23041782.thl.jpg,original,object
images/faces/male/Tom_Brady.jpg,original,face
images/objects/Abowl74.jpg,original,object
images/objects/Aoilcan11.jpg,original,object
images/faces/female/Nikki_De_Jager.jpg,original,face
images/faces/female/Rachel_McAdams.jpg,original,face
images/objects/23028486.thl.jpg,original,object
images/objects/26432217.thl.jpg,repeat,object
images/faces/female/Carly_Rae_Jepsen.jpg,original,face
images/faces/male/Paul_Dano.jpg,original,face
images/objects/26378596.thl.jpg,original,object
images/faces/male/Leonardo_DiCaprio.jpg,original,face
images/faces/female/Michelle_Dockery.jpg,original,face
images/objects/Amilkcrate2.jpg,original,object
images/objects/26425322.thl.jpg,original,object
images/faces/male/John_Grisham.jpg,original,face
images/objects/ABROCHETT.jpg,original,object
images/faces/female/Julie_Sarinana.jpg,original,face
images/objects/26437080.thl.jpg,original,object
images/objects/heartchocolat.jpg,original,object
images/objects/heartchocolat.jpg,repeat,object
images/objects/26440261.thl.jpg,original,object
images/objects/funlamp.jpg,original,object
images/faces/male/Bryan_Cranston.jpg,original,face
images/faces/male/Sanjay_Gupta.jpg,original,face
images/faces/female/Hillary_Duff.jpg,original,face
images/objects/DSCN3767-sm.jpg,original,object
images/objects/tricycle.jpg,original,object
images/faces/female/Hillary_Duff.jpg,repeat,face
images/objects/22856784.thl.jpg,original,object
images/faces/male/Lionel_Messi.jpg,original,face
images/faces/female/Mary_Barra.jpg,original,face
images/faces/male/Max_Verstappen.jpg,original,face
images/objects/8245419.thl.jpg,original,object
images/faces/female/Margaret_Atwood.jpg,original,face
images/faces/female/Nora_Roberts.jpg,original,face
images/objects/22925624.thl.jpg,original,object
images/objects/AANTHAT2.jpg,original,object
images/objects/ACANOL.jpg,original,object
images/objects/26425322.thl.jpg,repeat,object
images/faces/male/George_Clooney.jpg,repeat,face
images/objects/Abottleopener.jpg,original,object
images/objects/Aflower136.jpg,original,object
images/objects/jumpmattress.jpg,original,object
images/objects/fireking-file-cabinet.jpg,original,object
images/faces/male/Spike_Lee.jpg,original,face
images/faces/male/Caleb_Dressel.jpg,original,face
images/objects/26424075.thl.jpg,original,object
images/objects/saltpeppershakerjpg.jpg,original,object
images/objects/Atoyfiretru11.jpg,original,object
images/objects/AARMCHA25.jpg,original,object
images/faces/male/Tom_Hardy.jpg,repeat,face
images/objects/ATOWRACK3.jpg,original,object
images/objects/23051010.thl.jpg,repeat,object
images/objects/ACENTRIF5.jpg,original,object
images/objects/26387436.thl.jpg,original,object
images/faces/male/Paul_Rudd.jpg,original,face
images/objects/26424973.thl.jpg,original,object
images/faces/male/Donald_Glover.jpg,original,face
images/faces/female/Scarlett_Johansson.jpg,original,face
images/objects/26684634.thl.jpg,original,object
images/objects/AAIRPORTC.jpg,original,object
images/faces/female/Billie_Eilish.jpg,original,face
images/faces/female/Jennifer_Lopez.jpg,original,face
images/faces/female/Beyonce.jpg,repeat,face
images/faces/male/Mitch_McConnell.jpg,original,face
images/faces/female/Vanessa_Hudgens.jpg,original,face
images/objects/ACDRAINER.jpg,original,object
images/faces/male/David_Schwimmer.jpg,original,face
images/faces/male/Prince_Harry.jpg,repeat,face
images/objects/retainertheeth.jpg,original,object
images/faces/male/Eddie_Redmayne.jpg,original,face
